source_file,page_num,type,term,definition,canonical_id,raw_text,confidence
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_12_2025,Cabinet Resolution No. (12) of 2025,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,federal_decree_law_28_2022,Federal Decree Law No. (28) of 2022,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_23_2018,Cabinet Resolution No. (23) of 2018,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_74_2023,Cabinet Resolution No. (74) of 2023,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,federal_decree_law_28_2022,"Federal
Decree Law No. (28) of 2022",0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_58_2017,Cabinet Resolution No. (58) of 2017,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_23_2018,Cabinet Resolution No. (23) of 2018,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_12_2025,Cabinet Resolution No. (12) of 2025,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,federal_decree_law_28_2022,"Federal Decree Law No. (28) of 2022 on Tax Procedures, as amended;",0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_23_2018,"Cabinet Resolution No. (23) of 2018 on the Formation, Terms of Reference and Applicable",0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_federal_74_2023,Cabinet Resolution No. (74) of 2023 Concerning the Executive Regulations of Federal,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_58_2017,Cabinet Resolution No. (58) of 2017 Concerning Government,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_23_2018,Cabinet Resolution No. (23) of 2018 referred to above.,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Regulating the Procedures for Objections and Appeals by Government 1,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,12_2025_12_2025,No. (12) of 2025,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,28_2022_28_2022,No. (28) of 2022,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,23_2018_23_2018,No. (23) of 2018,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,74_2023_74_2023,No. (74) of 2023,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,28_2022_28_2022,No. (28) of 2022,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,58_2017_58_2017,No. (58) of 2017,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,citation,,,23_2018_23_2018,No. (23) of 2018,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,term_definition,"Objections and Appeals by
Government Authorities on Tax Disputes
The Cabinet","− Having reviewed the Constitution;
− Federal Decree Law No. (28) of 2022 on Tax Procedures, as amended;
− Cabinet Resolution No. (23) of 2018 on the Formation, Terms of Reference and Applicable",objections_and_appeals_by_government_authorities_on_tax_disputes_the_cabinet,"Objections and Appeals by
Government Authorities on Tax Disputes
The Cabinet : − Having reviewed the Constitution;
− Federal Decree Law No. (28) of 2022 on Tax Procedures, as amended;
− Cabinet Resolution No. (23) of 2018 on the Formation, Terms of Reference and Applicable",0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,term_definition,Hereby resolves as follows,Article (1),hereby_resolves_as_follows,Hereby resolves as follows : Article (1),0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,term_definition,Authority,The Federal Tax Authority (FTA).,authority,Authority : The Federal Tax Authority (FTA).,0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,term_definition,Government,Federal and local Government Authorities designated under the,government,Government : Federal and local Government Authorities designated under the,0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,term_definition,Department,"The official body in charge of financial affairs in the local emirate.
of Finance",department,"Department : The official body in charge of financial affairs in the local emirate.
of Finance",0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,1,term_definition,Committee,The Tax Disputes Resolution Committee formed pursuant to,committee,Committee : The Tax Disputes Resolution Committee formed pursuant to,0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,citation,,,federal_decree_law_28,Federal Decree Law No. (28),0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,citation,,,cabinet_resolution_2025,Cabinet Resolution of 2025 Regarding Regulating the Procedures for Objections and Appeals by Government 2,0.95
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,term_definition,Objection,A written or electronic objection filed by the Government,objection,Objection : A written or electronic objection filed by the Government,0.98
Cabinet Resolution No. (12) of 2025 Regarding the Procedures of Objections and Appeals by Government Authorities on Tax Dispute.pdf,2,term_definition,Competent,The Ministry of Justice's Tax Disputes Resolution Department.,competent,Competent : The Ministry of Justice's Tax Disputes Resolution Department.,0.98
